Symbol,Last,Bars,Close,High,Low,RSI14,MA10,MA20,MA50,ATR14_pct,TrendScore,MomentumScore,ExplosivenessScore,BreakoutScore,VolumeScore,VolatilityScore,OscillatorScore,TrendQualityScore,RiskScore,TechRating,SwingLow10,SwingHigh10,RecentLow5,RecentHigh5,AvgVol20,AvgDollarVol20,Signal,TradeType,Sector,Industry,EntryPrice,StopPrice,TargetPrice,RewardRisk,PositionSize
AGNCZ,25.72,57,25.72,25.73,25.5,,25.497999999999998,25.506875,25.436009999999996,0.0055834814485669765,2,2,2,3,3,1,2,0,0.7208259275716512,24.5,25.355,25.73,25.36,25.73,106106.55,2729060.466,Long,Breakout Long,,,25.76,25.36,26.57,2.0,247
ALE,67.62,112,67.62,67.64,67.545,,67.505,67.4475,66.9966,0.002001732369966631,3,0,2,3,-1,0,0,3,0.8999133815016684,23.4,67.35,67.64,67.45,67.64,636497.7,43039974.474,Strong Long,Breakout Long,,,67.67,67.35,68.3,2.0,315
AHL,37.05,112,37.05,37.08,36.97,,36.928999999999995,36.8665,36.7646,0.0035858877964140977,3,0,2,3,-1,1,0,3,0.8207056101792951,22.2,36.75,37.08,36.86,37.08,260280.55,9643394.3775,Strong Long,Breakout Long,,,37.11,36.75,37.82,2.0,280
AKRO,54.36,112,54.36,54.44,54.34,,54.324,54.222500000000004,51.9896,0.0026082728897298146,3,0,0,3,-1,3,0,3,0.8695863555135093,21.7,54.1,54.44,54.26,54.44,1393535.25,75752576.19,Long,Breakout Long,,,54.47,54.1,55.21,2.0,271
AL,63.93,112,63.93,64.06,63.93,,63.809000000000005,63.806999999999995,63.687799999999996,0.0026256396505106045,3,0,1,3,-1,3,0,2,0.8687180174744698,21.7,63.64,64.08,63.74,64.08,2288666.55,146314452.5415,Long,Breakout Long,,,64.11,63.64,65.06,2.0,211
ADC,75.22,112,75.22,75.4287,74.65,,74.277,73.688,72.965,0.011727599042807763,3,2,1,2,-1,1,2,3,0.41362004785961193,12.4,72.671,75.68,73.26,75.68,1004511.05,75559321.18100001,Avoid,Breakout Long,,,,,,,0
AEE,106.35,112,106.35,106.605,105.9,,104.83500000000001,104.08900000000001,103.6834,0.01322956545100412,3,2,1,3,-1,0,2,1,0.33852172744979403,9.5,102.82,106.605,103.045,106.605,1633803.65,173755018.17749998,Avoid,Avoid,,,,,,,0
AGNC,10.49,112,10.49,10.58,10.465,,10.254000000000001,10.222999999999999,10.080599999999999,0.014717417949067129,3,2,2,1,0,0,2,2,0.26412910254664357,7.4,10.045,10.64,10.065,10.64,22814013.65,239319003.1885,Avoid,Avoid,,,,,,,0
AEP,123.77,112,123.77,123.9,122.715,,122.20900000000002,121.63700000000001,117.5666,0.014459365874490704,3,0,1,3,-1,2,0,1,0.2770317062754648,6.1,119.585,124.8,119.585,123.9,3723300.95,460832958.5815,Avoid,Avoid,,,,,,,0
ACGL,93.92,112,93.92,94.94,93.9,,92.55,90.7575,89.8468,0.01576410014602089,3,2,1,1,-1,0,1,3,0.21179499269895552,5.3,90.86,94.94,91.23,94.94,2071177.6,194525000.192,Avoid,Avoid,,,,,,,0
