symbol,Name,Sector,Industry,MarketCap,SicCode,SicDescription,SubIndustry
A,Agilent Technologies Inc.,Industrials,LABORATORY ANALYTICAL INSTRUMENTS,43695104177.49,3826.0,LABORATORY ANALYTICAL INSTRUMENTS,Other
AA,Alcoa Corporation,Materials,PRIMARY PRODUCTION OF ALUMINUM,10765134810.24,3334.0,PRIMARY PRODUCTION OF ALUMINUM,Other
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,Industrials,BLANK CHECKS,284775750.0,6770.0,BLANK CHECKS,Banks
AACG,ATA Creativity Global American Depositary Shares,Industrials,,34155395.575,,,Other
AAL,American Airlines Group Inc.,Industrials,"AIR TRANSPORTATION, SCHEDULED",9195004875.35,4512.0,"AIR TRANSPORTATION, SCHEDULED",Other
AAM,AA Mission Acquisition Corp.,Industrials,BLANK CHECKS,466124400.0,6770.0,BLANK CHECKS,Banks
AAME,Atlantic American Corp,Financials,LIFE INSURANCE,51197042.28,6311.0,LIFE INSURANCE,Other
AAMI,Acadian Asset Management Inc.,Financials,INVESTMENT ADVICE,1612623859.1999998,6282.0,INVESTMENT ADVICE,Asset Management & Custody
AAOI,"Applied Optoelectronics, Inc.",Information Technology,SEMICONDUCTORS & RELATED DEVICES,1745916736.16,3674.0,SEMICONDUCTORS & RELATED DEVICES,Semiconductors
AAON,Aaon Inc,Industrials,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,7608294205.6,3585.0,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,Other
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,RETAIL-AUTO & HOME SUPPLY STORES,3090545395.05,5531.0,RETAIL-AUTO & HOME SUPPLY STORES,Other
AAPG,Ascentage Pharma Group International American Depository Shares,Industrials,,2985983412.28,,,Other
AAPL,Apple Inc.,Information Technology,ELECTRONIC COMPUTERS,4101176775150.0,3571.0,ELECTRONIC COMPUTERS,Other
AARD,"Aardvark Therapeutics, Inc. Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,210547540.24,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
AAT,"AMERICAN ASSETS TRUST, INC.",Financials,REAL ESTATE INVESTMENT TRUSTS,1190028467.32,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
AAUC,Allied Gold Corporation,Industrials,,2382040000.0,,,Other
AB,"AllianceBernstein Holding, L.P.",Financials,INVESTMENT ADVICE,3739822616.1,6282.0,INVESTMENT ADVICE,Asset Management & Custody
ABAT,American Battery Technology Company Common Stock,Materials,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),465292449.64,1400.0,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),Other
ABBV,ABBVIE INC.,Health Care,PHARMACEUTICAL PREPARATIONS,402362785321.12,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ABCB,Ameris Bancorp,Financials,STATE COMMERCIAL BANKS,5185119429.6,6022.0,STATE COMMERCIAL BANKS,Banks
ABCL,AbCellera Biologics Inc. Common Shares,Health Care,PHARMACEUTICAL PREPARATIONS,1089579574.72,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,PHARMACEUTICAL PREPARATIONS,279085509.15000004,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ABEV,AMBEV S.A.,Industrials,,39137092087.17,,,Other
ABG,"Asbury Automotive Group, Inc.",Consumer Discretionary,RETAIL-AUTO DEALERS & GASOLINE STATIONS,4558810851.0,5500.0,RETAIL-AUTO DEALERS & GASOLINE STATIONS,Other
ABL,"Abacus Global Management, Inc. Class A Common Stock",Financials,INVESTMENT ADVICE,639303671.7,6282.0,INVESTMENT ADVICE,Asset Management & Custody
ABLLL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",Financials,INVESTMENT ADVICE,,6282.0,INVESTMENT ADVICE,Asset Management & Custody
ABLV,Able View Global Inc. Class B Ordinary Shares,Industrials,,31609550.08,,,Other
ABM,"ABM Industries, Inc.",Industrials,SERVICES-TO DWELLINGS & OTHER BUILDINGS,2631832807.1,7340.0,SERVICES-TO DWELLINGS & OTHER BUILDINGS,Other
ABNB,"Airbnb, Inc. Class A Common Stock",Industrials,SERVICES-TO DWELLINGS & OTHER BUILDINGS,70785270515.44,7340.0,SERVICES-TO DWELLINGS & OTHER BUILDINGS,Other
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",118118178.75,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
ABP,"Abpro Holdings, Inc Common Stock",Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",18497853.18,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
ABSI,Absci Corporation Common Stock,Health Care,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,464648030.79,8731.0,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,Biotechnology
ABT,Abbott Laboratories,Health Care,PHARMACEUTICAL PREPARATIONS,223514600067.38,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ABTC,American Bitcoin Corp. Class A Common Stock,Financials,FINANCE SERVICES,3895940974.8,6199.0,FINANCE SERVICES,Other
ABTS,Abits Group Inc Ordinary Shares,Industrials,,13864470.75,,,Other
ABUS,Arbutus Biopharma Corporation Common Stock,Health Care,PHARMACEUTICAL PREPARATIONS,848148914.97,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ABVC,"ABVC BioPharma, Inc. Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,64883907.63,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ABVE,Above Food Ingredients Inc. Common Stock,Industrials,,134634560.23999998,,,Other
ABVX,Abivax SA American Depositary Shares,Industrials,,9790889634.64,,,Other
ACA,"Arcosa, Inc. Common Stock",Materials,FABRICATED STRUCTURAL METAL PRODUCTS,5219371560.5,3440.0,FABRICATED STRUCTURAL METAL PRODUCTS,Other
ACAD,Acadia Pharmaceuticals Inc.,Health Care,PHARMACEUTICAL PREPARATIONS,4197400879.77,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ACB,Aurora Cannabis Inc. Common Shares,Industrials,,259680613.23,,,Other
ACCL,Acco Group Holdings Limited Ordinary Shares,Industrials,,56573000.00000001,,,Other
ACCO,Acco Brands Corporation,Industrials,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",309166936.19,2780.0,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",Other
ACCS,ACCESS Newswire Inc.,Industrials,SERVICES-MANAGEMENT CONSULTING SERVICES,31414867.12,8742.0,SERVICES-MANAGEMENT CONSULTING SERVICES,Other
ACDC,ProFrac Holding Corp. Class A Common Stock,Energy,"OIL & GAS FIELD SERVICES, NEC",620388157.69,1389.0,"OIL & GAS FIELD SERVICES, NEC",Other
ACEL,"Accel Entertainment, Inc.",Consumer Discretionary,SERVICES-AMUSEMENT & RECREATION SERVICES,849553128.6600001,7900.0,SERVICES-AMUSEMENT & RECREATION SERVICES,Other
ACET,"Adicet Bio, Inc. Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,92106604.181,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ACFN,"Acorn Energy, Inc. Common Stock",Industrials,SERVICES-ENGINEERING SERVICES,34889440.18,8711.0,SERVICES-ENGINEERING SERVICES,Other
